loss_rate,alone_avg_s,with_tcp_avg_s,slowdown,correct_alone,correct_with_tcp,trials,tcp_Bps
0.0,0.36,0.39,1.08,5,5,5,9376797692
0.35,16.04,23.40,1.46,5,5,5,9321741671
